random seed = 1234
reference_energy=-2.903724377034114 hartree
stage=1 learning_rate=1e-03 epoch=9900 rel_error=3.019961611643e-03 best_rel_error=3.01e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10000 rel_error=2.947146744433e-03 best_rel_error=2.92e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10100 rel_error=2.847499829518e-03 best_rel_error=2.85e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10200 rel_error=2.914163819614e-03 best_rel_error=2.84e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10300 rel_error=2.705864335623e-03 best_rel_error=2.69e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10400 rel_error=2.749599175355e-03 best_rel_error=2.63e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10500 rel_error=2.528925366736e-03 best_rel_error=2.50e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10600 rel_error=2.396624250776e-03 best_rel_error=2.40e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10700 rel_error=2.315969072692e-03 best_rel_error=2.32e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10800 rel_error=2.359115569081e-03 best_rel_error=2.25e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=10900 rel_error=2.445622074299e-03 best_rel_error=2.20e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11000 rel_error=2.229557686873e-03 best_rel_error=2.17e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11100 rel_error=2.156219340085e-03 best_rel_error=2.10e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11200 rel_error=2.033066766476e-03 best_rel_error=2.03e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11300 rel_error=1.972702085415e-03 best_rel_error=1.97e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11400 rel_error=1.906372669033e-03 best_rel_error=1.90e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11500 rel_error=1.855683334852e-03 best_rel_error=1.83e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11600 rel_error=1.734113034073e-03 best_rel_error=1.73e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11700 rel_error=1.914720162360e-03 best_rel_error=1.68e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11800 rel_error=1.933326427252e-03 best_rel_error=1.62e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=11900 rel_error=1.571877808517e-03 best_rel_error=1.57e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12000 rel_error=1.545352590466e-03 best_rel_error=1.51e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12100 rel_error=1.490666621871e-03 best_rel_error=1.45e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12200 rel_error=1.423543632027e-03 best_rel_error=1.42e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12300 rel_error=1.374113786315e-03 best_rel_error=1.37e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12400 rel_error=1.326349869751e-03 best_rel_error=1.32e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12500 rel_error=1.303997148913e-03 best_rel_error=1.29e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12600 rel_error=1.211698315635e-03 best_rel_error=1.21e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12700 rel_error=1.193465465609e-03 best_rel_error=1.16e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12800 rel_error=1.150872372381e-03 best_rel_error=1.13e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=12900 rel_error=1.035482081252e-03 best_rel_error=1.04e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=13000 rel_error=1.003317918194e-03 best_rel_error=1.00e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=13100 rel_error=9.703442951269e-04 best_rel_error=9.63e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13200 rel_error=9.663812882313e-04 best_rel_error=9.18e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13300 rel_error=8.989125883521e-04 best_rel_error=8.75e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13400 rel_error=8.092804082314e-04 best_rel_error=8.09e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13500 rel_error=7.987548464722e-04 best_rel_error=7.80e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13600 rel_error=7.934468520566e-04 best_rel_error=7.03e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13700 rel_error=6.831097579605e-04 best_rel_error=6.57e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13800 rel_error=8.250649770557e-04 best_rel_error=5.96e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=13900 rel_error=6.035827241239e-04 best_rel_error=5.16e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=14000 rel_error=5.538836247425e-04 best_rel_error=4.76e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=14100 rel_error=4.056009778953e-04 best_rel_error=4.06e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=14200 rel_error=4.964794487894e-04 best_rel_error=3.63e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=14300 rel_error=3.597106992267e-04 best_rel_error=3.49e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=14400 rel_error=2.819884098239e-04 best_rel_error=2.76e-04 num_params=34260
stage=1 learning_rate=1e-03 epoch=14500 rel_error=2.931814208072e-04 best_rel_error=2.39e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1 rel_error=2.538653011260e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=100 rel_error=2.122221958966e-04 best_rel_error=2.12e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=200 rel_error=2.113850536765e-04 best_rel_error=2.11e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=300 rel_error=2.105397232707e-04 best_rel_error=2.11e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=400 rel_error=2.096647416992e-04 best_rel_error=2.10e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=500 rel_error=2.087627550948e-04 best_rel_error=2.09e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=600 rel_error=2.078367152735e-04 best_rel_error=2.08e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=700 rel_error=2.068890882806e-04 best_rel_error=2.07e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=800 rel_error=2.059217977186e-04 best_rel_error=2.06e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=900 rel_error=2.049363364329e-04 best_rel_error=2.05e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1000 rel_error=2.039338837113e-04 best_rel_error=2.04e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1100 rel_error=2.029153913147e-04 best_rel_error=2.03e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1200 rel_error=2.018816416321e-04 best_rel_error=2.02e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1300 rel_error=2.008332875544e-04 best_rel_error=2.01e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1400 rel_error=1.997708811794e-04 best_rel_error=2.00e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1500 rel_error=1.986953134065e-04 best_rel_error=1.99e-04 num_params=34260
stage=2 learning_rate=1e-06 epoch=1600 rel_error=1.976079682423e-04 best_rel_error=1.98e-04 num_params=34260
