random seed = 1234
reference_energy=-7.478060326 hartree
stage=1 learning_rate=1e-02 epoch=8400 rel_error=3.590512510598e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=8500 rel_error=3.456864305851e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=8600 rel_error=3.392481140640e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=8700 rel_error=3.322924699980e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=8800 rel_error=3.298037494360e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=8900 rel_error=3.377859251772e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9000 rel_error=3.211068524000e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9100 rel_error=3.183883736471e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9200 rel_error=3.186480108980e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9300 rel_error=3.191084192219e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9400 rel_error=3.465120580579e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9500 rel_error=3.148220104673e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9600 rel_error=3.190246410507e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9700 rel_error=2.410819311362e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9800 rel_error=2.432145927777e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=9900 rel_error=2.268116539942e-03 best_rel_error=2.20e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10000 rel_error=2.298447519927e-03 best_rel_error=2.19e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10100 rel_error=2.541368525770e-03 best_rel_error=2.19e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10200 rel_error=2.141906429169e-03 best_rel_error=2.14e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10300 rel_error=2.155647193162e-03 best_rel_error=2.14e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10400 rel_error=2.238636259682e-03 best_rel_error=2.14e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10500 rel_error=2.268813731216e-03 best_rel_error=2.14e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10600 rel_error=2.120131092187e-03 best_rel_error=2.12e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10700 rel_error=2.363889408293e-03 best_rel_error=2.12e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10800 rel_error=2.292355825060e-03 best_rel_error=2.12e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=10900 rel_error=2.153109431576e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11000 rel_error=2.455646932017e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11100 rel_error=9.476459006556e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11200 rel_error=5.581340193160e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11300 rel_error=5.313241885065e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11400 rel_error=5.167533431579e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11500 rel_error=4.351236244440e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11600 rel_error=4.261261679891e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11700 rel_error=4.211008128832e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11800 rel_error=4.177612493231e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=11900 rel_error=4.159284094738e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12000 rel_error=4.122430288549e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12100 rel_error=4.264235563869e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12200 rel_error=4.081523331349e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12300 rel_error=3.859639559870e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12400 rel_error=2.451657512178e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12500 rel_error=2.386888646729e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12600 rel_error=2.338792595241e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12700 rel_error=2.253801279245e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12800 rel_error=2.333977609839e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=12900 rel_error=2.194788499923e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13000 rel_error=2.184236109702e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13100 rel_error=2.279771510875e-03 best_rel_error=2.11e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13200 rel_error=2.156214657783e-03 best_rel_error=2.09e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13300 rel_error=2.062295545758e-03 best_rel_error=2.06e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13400 rel_error=2.194187364693e-03 best_rel_error=2.06e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13500 rel_error=2.085380258967e-03 best_rel_error=2.03e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13600 rel_error=2.051831457954e-03 best_rel_error=2.03e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13700 rel_error=2.379260921026e-03 best_rel_error=2.01e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13800 rel_error=2.358131665891e-03 best_rel_error=2.01e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=13900 rel_error=1.732465327695e-03 best_rel_error=1.73e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14000 rel_error=1.788316094642e-03 best_rel_error=1.71e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14100 rel_error=1.839469838131e-03 best_rel_error=1.71e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=14200 rel_error=1.800712492058e-03 best_rel_error=1.71e-03 num_params=51390
