macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
6,-2.903403605132386,0.00011046912863550516,-2.9495054274963906e-05,0.00011529812976449855,0.0019665125246129183,2.1895240324296138e-05,0.2629862683141138,16,3,82,16,379.6387746860273,8928.723513069039,9103.537557778007,30195.546875
6,-2.9034393338614017,9.816467946037428e-05,-3.5728729015804817e-05,0.00011529812976449855,0.0019665125246129183,6.986958462462773e-05,0.2821933810702544,21,4,103,20,459.95418713695835,9388.677700205997,9563.491744914965,30195.546875
7,-2.9034393338614017,9.816467946037428e-05,-3.5728729015804817e-05,2.232484518576757e-05,0.001486971745062972,1.8565301302374659e-06,0.2821933810702544,6,1,103,20,549.0025586130214,9937.680258819018,10112.494303527987,30195.546875
7,-2.9034393338614017,9.816467946037428e-05,-3.5728729015804817e-05,2.232484518576757e-05,0.0015097971993379786,5.0105100575097835e-06,0.2821933810702544,11,2,103,20,379.8808769630268,10317.561135782045,10492.375180491013,30195.546875
7,-2.9034393338614017,9.816467946037428e-05,-3.5728729015804817e-05,2.232484518576757e-05,0.0013059834620592855,9.016053544401107e-06,0.2821933810702544,16,3,103,20,381.65678931196453,10699.21792509401,10874.031969802978,30195.546875
7,-2.903454356016842,9.299126990426028e-05,-1.5022155440469476e-05,2.232484518576757e-05,0.0013059834620592855,2.191799552808157e-05,0.2846432730397376,21,4,124,24,441.1563013760024,11140.374226470012,11315.18827117898,30195.546875
8,-2.903454356016842,9.299126990426028e-05,-1.5022155440469476e-05,1.5198194751518998e-05,0.001780321144113827,1.694254104572151e-06,0.2846432730397376,6,1,124,24,550.9764504330233,11691.350676903035,11866.164721612004,30195.546875
8,-2.903454356016842,9.299126990426028e-05,-1.5022155440469476e-05,1.5198194751518998e-05,0.0018191766360549245,4.084126459949974e-06,0.2846432730397376,11,2,124,24,382.2396797949914,12073.590356698027,12248.404401406995,30195.546875
8,-2.903454356016842,9.299126990426028e-05,-1.5022155440469476e-05,1.5198194751518998e-05,0.0013917485297467477,5.703737983005459e-06,0.2846432730397376,16,3,124,24,380.3346271740156,12453.924983872043,12628.73902858101,30195.546875
8,-2.9034732915198123,8.647016097263604e-05,-1.8935502970052198e-05,1.5198194751518998e-05,0.0013917485297467477,2.6228426413108884e-05,0.3062372708970275,21,4,145,28,440.05688977398677,12893.98187364603,13068.795918354997,30195.546875
