macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
15,-2.1734423541582015,0.0008215336260484533,-4.162925115736016e-09,4.3206910757910845e-07,1.558093558303789e-05,3.0682943091334665e-08,0.23746243377321677,4,1,225,45,280.92267377999815,13309.192978867002,13463.781525241,13771.2578125
15,-2.1734423542407426,0.0008215335881025309,-8.254108507799174e-11,4.3206910757910845e-07,1.558093558303789e-05,8.695235169123736e-08,0.019989187891440323,4,1,229,46,131.69787952600018,13440.890858393002,13595.479404767,13771.2578125
16,-2.1734423542407426,0.0008215335881025309,-8.254108507799174e-11,1.6126162798982438e-06,4.280025032661891e-05,2.8359507123495447e-08,0.019989187891440323,5,1,229,46,280.0369897670025,13720.927848160005,13875.516394534003,13771.2578125
16,-2.1734423542407426,0.0008215335881025309,-8.254108507799174e-11,1.6126162798982438e-06,1.8369055360310242e-05,6.350325043857576e-08,0.019989187891440323,8,2,229,46,285.5243713710006,14006.452219531006,14161.040765905003,13771.2578125
16,-2.17344235441781,0.0008215335067008858,-1.7706724975141697e-10,1.6126162798982438e-06,1.8369055360310242e-05,1.4360250888316105e-07,0.0629062418155648,8,2,237,48,131.42085433199827,14137.873073863004,14292.461620237002,13771.2578125
17,-2.17344235441781,0.0008215335067008858,-1.7706724975141697e-10,1.0685326327392626e-06,6.374504663855663e-05,2.094522648252974e-08,0.0629062418155648,6,1,237,48,280.24336221400154,14418.116436077005,14572.704982451003,13771.2578125
17,-2.17344235441781,0.0008215335067008858,-1.7706724975141697e-10,1.0685326327392626e-06,5.088044113402057e-05,3.7086675862021856e-08,0.0629062418155648,11,2,237,48,286.3786090809954,14704.495045158,14859.083591531999,13771.2578125
17,-2.17344235441781,0.0008215335067008858,-1.7706724975141697e-10,1.0685326327392626e-06,1.9038759095310474e-05,6.22875023204085e-08,0.0629062418155648,16,3,237,48,286.6858965310021,14991.180941689003,15145.769488063,13771.2578125
17,-2.173442354899081,0.0008215332854501857,-4.81271023033969e-10,1.0685326327392626e-06,1.9038759095310474e-05,7.491526817599854e-08,0.1624062081529898,21,4,258,52,229.87217954399966,15221.053121233002,15375.641667607,13771.2578125
18,-2.173442354899081,0.0008215332854501857,-4.81271023033969e-10,1.695996426047064e-06,9.567480582232689e-06,1.5701078812286536e-16,0.1624062081529898,6,1,258,52,200.907635141004,15421.960756374006,15576.549302748004,13771.2578125
18,-2.173442354899081,0.0008215332854501857,-4.81271023033969e-10,1.695996426047064e-06,1.0185036505780674e-05,2.249053973963317e-08,0.1624062081529898,8,2,258,52,286.0585094009948,15708.019265775001,15862.607812148999,13771.2578125
18,-2.173442354899081,0.0008215332854501857,-4.81271023033969e-10,1.695996426047064e-06,2.4370247941353792e-06,2.2490539739675063e-08,0.1624062081529898,13,3,258,52,206.79981301299995,15914.819078788001,16069.407625161999,13771.2578125
18,-2.1734423549157333,0.0008215332777946908,-1.6652457190957648e-11,1.695996426047064e-06,2.4370247941353792e-06,4.215972461547198e-08,0.018524261108452077,23,4,281,56,229.39412257500226,16144.213201363003,16298.801747737001,13771.2578125
19,-2.1734423549157333,0.0008215332777946908,-1.6652457190957648e-11,4.934421962905065e-07,1.743348367857782e-06,1.11024047168727e-16,0.018524261108452077,1,1,281,56,200.4474499670032,16344.660651330007,16499.249197704004,13771.2578125
19,-2.173442354915782,0.0008215332777722335,-4.884981308350689e-14,4.934421962905065e-07,1.743348367857782e-06,7.786435274261838e-09,0.0,1,1,282,57,131.5425147529968,16476.203166083003,16630.791712457,13771.2578125
20,-2.173442354915782,0.0008215332777722335,-4.884981308350689e-14,5.001698453895864e-07,9.80904830735602e-07,1.895535214973582e-19,0.0,1,1,282,57,199.67562648499734,16675.878792568,16830.467338942,13771.2578125
20,-2.1734423549157897,0.0008215332777687629,-7.549516567451064e-15,5.001698453895864e-07,9.80904830735602e-07,7.108940087630219e-16,0.0,1,1,283,58,106.41795540699968,16782.296747975,16936.885294349,13771.2578125
21,-2.1734423549157897,0.0008215332777687629,-7.549516567451064e-15,5.001698453905382e-07,9.809048307360525e-07,2.220455106973584e-16,0.0,1,1,283,58,200.11739552899962,16982.414143504,17137.002689877998,13771.2578125
21,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453905382e-07,9.809048307360525e-07,1.1102236757473377e-16,0.0,1,1,284,59,106.58228632400278,17088.996429828003,17243.584976202,13771.2578125
22,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453926676e-07,9.809048307360525e-07,1.110223798681601e-16,0.0,1,1,284,59,200.37752340699808,17289.373953235,17443.962499609,13771.2578125
22,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453926676e-07,9.809048307360525e-07,1.5700933883451048e-16,0.0,1,1,285,60,106.6599182409991,17396.033871476,17550.622417849998,13771.2578125
23,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453871134e-07,9.809048307360525e-07,1.5700935316361938e-16,0.0,1,1,285,60,200.1241154390009,17596.157986915,17750.746533289,13771.37109375
23,-2.1734423549157897,0.0008215332777687629,0.0,5.001698453871134e-07,9.809048307360525e-07,1.570093537512867e-16,0.0,1,1,286,61,106.89677554600348,17703.054762461004,17857.643308835002,13771.37109375
