macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
16,-14.664220120475614,0.0002140725750500879,-0.00017966648978529065,0.0004864628451011721,0.00822485666821642,0.0003037516374670422,0.25786013342864134,21,4,336,64,4448.733076742006,84290.65421088901,85448.38240404401,2156.53125
17,-14.664220120475614,0.0002140725750500879,-0.00017966648978529065,0.0005655742722947216,0.006240828060816543,1.3019775317024148e-05,0.25786013342864134,6,1,336,64,632.4648882649781,84923.11909915399,86080.84729230899,2156.53125
17,-14.664220120475614,0.0002140725750500879,-0.00017966648978529065,0.0005655742722947216,0.004934104079724391,2.20767680949717e-05,0.25786013342864134,11,2,336,64,826.9443706230086,85750.063469777,86907.791662932,2156.53125
17,-14.664220120475614,0.0002140725750500879,-0.00017966648978529065,0.0005655742722947216,0.005267894650714148,3.159951403148713e-05,0.25786013342864134,16,3,336,64,826.2363560720114,86576.29982584901,87734.028019004,2156.53125
17,-14.664295482486065,0.00020893449904658252,-7.536201045077462e-05,0.0005655742722947216,0.005267894650714148,0.00017301764473090855,0.2474034592905885,21,4,357,68,5735.89454590698,92312.19437175599,93469.92256491099,2156.53125
18,-14.664295482486065,0.00020893449904658252,-7.536201045077462e-05,0.0003281188698868176,0.007759787311094336,9.540045923736676e-06,0.2474034592905885,6,1,357,68,630.7739360020205,92942.96830775801,94100.696500913,2156.53125
18,-14.664295482486065,0.00020893449904658252,-7.536201045077462e-05,0.0003281188698868176,0.009273335228550214,1.1369477389816853e-05,0.2474034592905885,11,2,357,68,826.911082829989,93769.879390588,94927.607583743,2156.53125
18,-14.664295482486065,0.00020893449904658252,-7.536201045077462e-05,0.0003281188698868176,0.012107052209607462,1.628539985462745e-05,0.2474034592905885,16,3,357,68,850.8526464889874,94620.73203707699,95778.46023023198,2156.53125
18,-14.664400643160803,0.00020176479197326675,-0.00010516067473886892,0.0003281188698868176,0.012107052209607462,0.0002193582985885695,0.29184863652255083,21,4,378,72,6101.231353411014,100721.963390488,101879.691583643,2156.53125
19,-14.664400643160803,0.00020176479197326675,-0.00010516067473886892,0.00024556688906795675,0.008214185640436177,5.240230674253372e-06,0.29184863652255083,5,1,378,72,675.9155424989876,101397.87893298699,102555.60712614199,2156.53125
