nu,thr,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,Mother,E,dE,err,keptDim
37,7.27595761418343e-12,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
38,3.63797880709171e-12,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
39,1.81898940354586e-12,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
40,9.09494701772928e-13,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
41,4.54747350886464e-13,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
42,2.27373675443232e-13,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
43,1.13686837721616e-13,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
44,5.6843418860808e-14,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
45,2.8421709430404e-14,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
46,1.4210854715202e-14,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
47,7.105427357601e-15,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
48,3.5527136788005e-15,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
49,1.77635683940025e-15,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
50,8.88178419700125e-16,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
51,4.44089209850063e-16,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
52,2.22044604925031e-16,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
53,1.11022302462516e-16,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
54,5.55111512312578e-17,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
55,2.77555756156289e-17,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
56,1.38777878078145e-17,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
57,6.93889390390723e-18,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
58,3.46944695195361e-18,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
59,1.73472347597681e-18,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
