mode,nu,thr,M,Mzero,Mone,Mtwo_uu,E,dE
diag_mass,16,1.52587890625e-05,715,1,300,414,-2.17472467849009,1.84625363885971e-07
diag_mass,17,7.62939453125e-06,815,1,328,486,-2.1747248195466,4.35688458644279e-08
diag_mass,18,3.814697265625e-06,835,1,342,492,-2.17472486006187,3.05358272001399e-09
diag_mass,19,1.9073486328125e-06,847,1,354,492,-2.17472486013879,2.97665803117297e-09
diag_mass,20,9.5367431640625e-07,847,1,354,492,-2.17472486013879,2.97665803117297e-09
diag_mass,21,4.76837158203125e-07,907,1,366,540,-2.17472486302656,8.88866757975393e-11
diag_mass,22,2.38418579101562e-07,931,1,366,564,-2.17472486311509,3.64153152077051e-13
diag_mass,23,1.19209289550781e-07,931,1,366,564,-2.17472486311509,3.64153152077051e-13
diag_mass,24,5.96046447753906e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
diag_mass,25,2.98023223876953e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
diag_mass,26,1.49011611938477e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
diag_mass,27,7.45058059692383e-09,955,1,366,588,-2.17472486311514,3.11306536104894e-13
diag_mass,28,3.72529029846191e-09,1003,1,366,636,-2.17472486311541,4.04121180963557e-14
diag_mass,29,1.86264514923096e-09,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
diag_mass,30,9.31322574615479e-10,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
diag_mass,31,4.65661287307739e-10,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
diag_mass,32,2.3283064365387e-10,1051,1,366,684,-2.17472486311545,0
diag_mass,33,1.16415321826935e-10,1051,1,366,684,-2.17472486311545,0
diag_mass,34,5.82076609134674e-11,1051,1,366,684,-2.17472486311545,0
diag_mass,35,2.91038304567337e-11,1051,1,366,684,-2.17472486311545,0
diag_mass,36,1.45519152283669e-11,1051,1,366,684,-2.17472486311545,0
diag_mass,37,7.27595761418343e-12,1051,1,366,684,-2.17472486311545,0
diag_mass,38,3.63797880709171e-12,1051,1,366,684,-2.17472486311545,0
diag_mass,39,1.81898940354586e-12,1051,1,366,684,-2.17472486311545,0
diag_mass,40,9.09494701772928e-13,1051,1,366,684,-2.17472486311545,0
diag_mass,41,4.54747350886464e-13,1051,1,366,684,-2.17472486311545,0
diag_mass,42,2.27373675443232e-13,1051,1,366,684,-2.17472486311545,0
diag_mass,43,1.13686837721616e-13,1051,1,366,684,-2.17472486311545,0
diag_mass,44,5.6843418860808e-14,1051,1,366,684,-2.17472486311545,0
diag_mass,45,2.8421709430404e-14,1051,1,366,684,-2.17472486311545,0
diag_mass,46,1.4210854715202e-14,1051,1,366,684,-2.17472486311545,0
diag_mass,47,7.105427357601e-15,1051,1,366,684,-2.17472486311545,0
diag_mass,48,3.5527136788005e-15,1051,1,366,684,-2.17472486311545,0
diag_mass,49,1.77635683940025e-15,1051,1,366,684,-2.17472486311545,0
diag_mass,50,8.88178419700125e-16,1051,1,366,684,-2.17472486311545,0
diag_mass,51,4.44089209850063e-16,1051,1,366,684,-2.17472486311545,0
diag_mass,52,2.22044604925031e-16,1051,1,366,684,-2.17472486311545,0
diag_mass,53,1.11022302462516e-16,1051,1,366,684,-2.17472486311545,0
diag_mass,54,5.55111512312578e-17,1051,1,366,684,-2.17472486311545,0
diag_mass,55,2.77555756156289e-17,1051,1,366,684,-2.17472486311545,0
diag_mass,56,1.38777878078145e-17,1051,1,366,684,-2.17472486311545,0
diag_mass,57,6.93889390390723e-18,1051,1,366,684,-2.17472486311545,0
diag_mass,58,3.46944695195361e-18,1051,1,366,684,-2.17472486311545,0
diag_mass,59,1.73472347597681e-18,1051,1,366,684,-2.17472486311545,0
diag_mass,60,8.67361737988404e-19,1051,1,366,684,-2.17472486311545,0
diag_mass,61,4.33680868994202e-19,1051,1,366,684,-2.17472486311545,0
diag_mass,62,2.16840434497101e-19,1051,1,366,684,-2.17472486311545,0
diag_mass,63,1.0842021724855e-19,1051,1,366,684,-2.17472486311545,0
diag_mass,64,5.42101086242752e-20,1051,1,366,684,-2.17472486311545,0
diag_mass,65,2.71050543121376e-20,1051,1,366,684,-2.17472486311545,0
diag_mass,66,1.35525271560688e-20,1051,1,366,684,-2.17472486311545,0
diag_mass,67,6.7762635780344e-21,1051,1,366,684,-2.17472486311545,0
diag_mass,68,3.3881317890172e-21,1051,1,366,684,-2.17472486311545,0
diag_mass,69,1.6940658945086e-21,1051,1,366,684,-2.17472486311545,0
diag_mass,70,8.470329472543e-22,1051,1,366,684,-2.17472486311545,0
diag_mass,71,4.2351647362715e-22,1051,1,366,684,-2.17472486311545,0
diag_mass,72,2.11758236813575e-22,1051,1,366,684,-2.17472486311545,0
diag_mass,73,1.05879118406788e-22,1051,1,366,684,-2.17472486311545,0
diag_mass,74,5.29395592033938e-23,1051,1,366,684,-2.17472486311545,0
diag_mass,75,2.64697796016969e-23,1051,1,366,684,-2.17472486311545,0
diag_mass,76,1.32348898008484e-23,1051,1,366,684,-2.17472486311545,0
diag_mass,77,6.61744490042422e-24,1051,1,366,684,-2.17472486311545,0
diag_mass,78,3.30872245021211e-24,1051,1,366,684,-2.17472486311545,0
diag_mass,79,1.65436122510606e-24,1051,1,366,684,-2.17472486311545,0
diag_mass,80,8.27180612553028e-25,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,0,1,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,1,0.5,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,2,0.25,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,3,0.125,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,4,0.0625,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,5,0.03125,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,6,0.015625,1,1,0,0,-2.17424361453112,0.000481248584334182
partial_orthogonal,7,0.0078125,19,1,18,0,-2.1742436145338,0.000481248581654992
partial_orthogonal,8,0.00390625,20,1,19,0,-2.1742436145346,0.000481248580852522
partial_orthogonal,9,0.001953125,106,1,51,54,-2.17461762269065,0.000107240424797261
partial_orthogonal,10,0.0009765625,214,1,63,150,-2.1746513471561,7.35159593552304e-05
partial_orthogonal,11,0.00048828125,294,1,95,198,-2.17470958154289,1.52815725642519e-05
partial_orthogonal,12,0.000244140625,424,1,153,270,-2.17472024786888,4.61524657380252e-06
partial_orthogonal,13,0.0001220703125,448,1,153,294,-2.17472217446556,2.68864989427797e-06
partial_orthogonal,14,6.103515625e-05,538,1,195,342,-2.17472351983751,1.34327793954725e-06
partial_orthogonal,15,3.0517578125e-05,648,1,257,390,-2.1747238263587,1.03675675422465e-06
partial_orthogonal,16,1.52587890625e-05,715,1,300,414,-2.17472467849009,1.84625363885971e-07
partial_orthogonal,17,7.62939453125e-06,815,1,328,486,-2.1747248195466,4.35688458644279e-08
partial_orthogonal,18,3.814697265625e-06,835,1,342,492,-2.17472486006187,3.05358272001399e-09
partial_orthogonal,19,1.9073486328125e-06,847,1,354,492,-2.17472486013879,2.97665803117297e-09
partial_orthogonal,20,9.5367431640625e-07,847,1,354,492,-2.17472486013879,2.97665803117297e-09
partial_orthogonal,21,4.76837158203125e-07,907,1,366,540,-2.17472486302656,8.88866757975393e-11
partial_orthogonal,22,2.38418579101562e-07,931,1,366,564,-2.17472486311509,3.64153152077051e-13
partial_orthogonal,23,1.19209289550781e-07,931,1,366,564,-2.17472486311509,3.64153152077051e-13
partial_orthogonal,24,5.96046447753906e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
partial_orthogonal,25,2.98023223876953e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
partial_orthogonal,26,1.49011611938477e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
partial_orthogonal,27,7.45058059692383e-09,955,1,366,588,-2.17472486311514,3.11306536104894e-13
partial_orthogonal,28,3.72529029846191e-09,1003,1,366,636,-2.17472486311541,4.04121180963557e-14
partial_orthogonal,29,1.86264514923096e-09,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
partial_orthogonal,30,9.31322574615479e-10,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
partial_orthogonal,31,4.65661287307739e-10,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
partial_orthogonal,32,2.3283064365387e-10,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,33,1.16415321826935e-10,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,34,5.82076609134674e-11,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,35,2.91038304567337e-11,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,36,1.45519152283669e-11,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,37,7.27595761418343e-12,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,38,3.63797880709171e-12,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,39,1.81898940354586e-12,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,40,9.09494701772928e-13,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,41,4.54747350886464e-13,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,42,2.27373675443232e-13,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,43,1.13686837721616e-13,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,44,5.6843418860808e-14,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,45,2.8421709430404e-14,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,46,1.4210854715202e-14,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,47,7.105427357601e-15,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,48,3.5527136788005e-15,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,49,1.77635683940025e-15,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,50,8.88178419700125e-16,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,51,4.44089209850063e-16,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,52,2.22044604925031e-16,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,53,1.11022302462516e-16,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,54,5.55111512312578e-17,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,55,2.77555756156289e-17,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,56,1.38777878078145e-17,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,57,6.93889390390723e-18,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,58,3.46944695195361e-18,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,59,1.73472347597681e-18,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,60,8.67361737988404e-19,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,61,4.33680868994202e-19,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,62,2.16840434497101e-19,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,63,1.0842021724855e-19,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,64,5.42101086242752e-20,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,65,2.71050543121376e-20,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,66,1.35525271560688e-20,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,67,6.7762635780344e-21,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,68,3.3881317890172e-21,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,69,1.6940658945086e-21,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,70,8.470329472543e-22,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,71,4.2351647362715e-22,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,72,2.11758236813575e-22,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,73,1.05879118406788e-22,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,74,5.29395592033938e-23,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,75,2.64697796016969e-23,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,76,1.32348898008484e-23,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,77,6.61744490042422e-24,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,78,3.30872245021211e-24,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,79,1.65436122510606e-24,1051,1,366,684,-2.17472486311545,0
partial_orthogonal,80,8.27180612553028e-25,1051,1,366,684,-2.17472486311545,0
